RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =           12     M =           20

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     6.439D-01  3.444D+02
    1    3     7    11  ---    1  2.3D-01  2.9D-01  7.256D-01  1.407D+02
    2    4     1     4  con    0  1.0D+00  1.4D-01  7.150D-01  7.297D+01
    3    5     1     3  bnd    0  1.0D+00  2.3D-01  5.000D-01  5.022D+00
    4    6     1     3  con    0  1.0D+00  9.8D-03  6.448D-01  4.898D+00
    5    7     1     3  con    0  1.0D+00  2.2D-02  6.411D-01  4.728D+00
    6    8     1     3  con    0  1.0D+00  4.0D-02  6.318D-01  4.467D+00
    7    9     1     3  con    0  1.0D+00  1.1D-01  7.967D-01  3.794D+00
    8   10     1     2  con    0  1.0D+00  1.8D-01  9.398D-01  2.869D+00
    9   11     1     2  bnd    0  1.0D+00  1.2D-01  5.033D-01  2.194D+00
   10   12     1     3  con    0  1.0D+00  8.7D-03  4.973D-01  2.171D+00
   11   14     1     3  con    1  5.0D+00  1.8D-03  5.017D-01  2.168D+00
   12   15     1     3  con    0  1.0D+00  7.8D-03  7.990D-01  2.156D+00
   13   16     1     3  con    0  1.0D+00  1.4D-02  8.030D-01  2.139D+00
   14   18     1     2  bnd    1  3.3D-01  1.1D-02  5.059D-01  2.128D+00
   15   19     1     3  con    0  1.0D+00  1.2D-02  5.083D-01  2.124D+00
   16   21     1     3  con    1  5.0D+00  4.1D-02  5.192D-01  2.084D+00
   17   22     1     3  con    0  1.0D+00  5.0D-02  5.325D-01  2.068D+00
   18   23     1     3  con    0  1.0D+00  2.8D-03  5.322D-01  2.067D+00
   19   24     1     3  con    0  1.0D+00  6.3D-03  2.728D-01  2.066D+00
   20   25     1     3  con    0  1.0D+00  1.0D-02  9.715D-02  2.065D+00
   21   26     1     3  con    0  1.0D+00  1.3D-02  1.331D-01  2.065D+00
   22   27     1     2  bnd    0  1.0D+00  5.4D-03  5.429D-02  2.064D+00
   23   28     1     2  con    0  1.0D+00  4.0D-03  6.236D-02  2.064D+00
   24   29     1     2  con    0  1.0D+00  1.5D-02  9.203D-02  2.064D+00
   25   30     1     2  con    0  1.0D+00  5.8D-02  1.848D-01  2.063D+00
   26   32     1     2  bnd    1  3.6D-03  2.6D-04  2.768D-01  2.063D+00
   27   49     1     2  bnd   16  9.2D-11  6.6D-12  2.757D-01  2.063D+00
   28   51     1     2  bnd    1  1.8D-03  4.2D-05  1.638D-01  2.063D+00
   29   52     1     2  con    0  1.0D+00  4.5D-03  3.782D-01  2.063D+00
   30   53     1     2  con    0  1.0D+00  3.9D-03  9.240D-02  2.063D+00
   31   54     1     2  con    0  1.0D+00  2.4D-03  8.859D-02  2.063D+00
   32   55     1     2  con    0  1.0D+00  1.3D-03  1.127D-01  2.063D+00
   33   56     1     2  con    0  1.0D+00  1.9D-03  3.877D-01  2.063D+00
   34   57     1     2  con    0  1.0D+00  4.6D-03  5.673D-01  2.063D+00
   35   59     1     2  con    1  5.0D+00  6.4D-02  5.865D-01  2.062D+00
   36   60     1     2  bnd    0  1.0D+00  9.0D-03  5.894D-01  2.062D+00
   37   61     1     3  con    0  1.0D+00  6.6D-03  3.622D-01  2.061D+00
   38   63     1     2  bnd    1  2.3D-04  6.6D-05  3.693D-02  2.061D+00
   39   64     1     3  con    0  1.0D+00  1.9D-03  3.823D-02  2.061D+00
   40   65     1     3  con    0  1.0D+00  5.9D-04  2.406D-03  2.061D+00
   41   68     1     3  con    2  7.3D-02  8.5D-06  1.518D-03  2.061D+00
   42   69     1     3  con    0  1.0D+00  1.8D-05  1.808D-03  2.061D+00
   43   71     1     3  con    1  3.1D-01  8.4D-06  1.514D-03  2.061D+00
   44   73     1     3  con    1  2.7D-01  3.0D-06  1.275D-03  2.061D+00
   45   75     1     3  con    1  5.0D+00  1.7D-05  8.596D-03  2.061D+00
   46   82     1     3  con    6  2.8D-02  6.0D-06  1.111D-02  2.061D+00
   47   90     1     3  con    7  2.5D-09  9.5D-14  1.112D-02  2.061D+00
   48   91     1     3  con    0  1.0D+00  6.7D-06  1.025D-02  2.061D+00
   49   92     1     3  con    0  1.0D+00  4.8D-06  3.646D-03  2.061D+00
   50   93     1     3  con    0  1.0D+00  2.1D-06  2.495D-03  2.061D+00
